TPR,FPR,Threshold,Accuracy,Specifity,Precision,Recall,F1-score
0.9,0.139,1.552,0.883,0.861,0.896,0.9,0.898
0.91,0.147,1.508,0.886,0.853,0.891,0.91,0.901
0.92,0.15,1.475,0.89,0.85,0.89,0.92,0.905
0.93,0.152,1.454,0.895,0.848,0.89,0.93,0.91
0.94,0.153,1.426,0.9,0.847,0.89,0.94,0.914
0.95,0.168,1.214,0.899,0.832,0.882,0.95,0.915
0.96,0.188,1.026,0.896,0.812,0.871,0.96,0.913
0.97,0.229,0.789,0.884,0.771,0.848,0.97,0.905
0.98,0.256,0.67,0.878,0.744,0.835,0.98,0.902
0.991,0.266,0.629,0.88,0.734,0.831,0.991,0.904
