TPR,FPR,Threshold,Accuracy,Specifity,Precision,Recall,F1-score
0.9,0.145,1.221,0.88,0.855,0.891,0.9,0.896
0.91,0.147,1.211,0.886,0.853,0.891,0.91,0.901
0.92,0.152,1.172,0.889,0.848,0.889,0.92,0.904
0.93,0.16,1.104,0.891,0.84,0.885,0.93,0.907
0.94,0.18,0.816,0.888,0.82,0.874,0.94,0.906
0.95,0.199,0.629,0.886,0.801,0.863,0.95,0.904
0.96,0.205,0.591,0.889,0.795,0.861,0.96,0.908
0.972,0.207,0.581,0.895,0.793,0.861,0.972,0.913
0.98,0.231,0.47,0.889,0.769,0.848,0.98,0.91
0.99,0.446,0.196,0.802,0.554,0.746,0.99,0.851
