TPR,FPR,Threshold,Accuracy,Specifity,Precision,Recall,F1-score
0.9,0.145,1.318,0.881,0.855,0.892,0.9,0.896
0.91,0.167,1.192,0.877,0.833,0.878,0.91,0.894
0.92,0.178,1.161,0.878,0.822,0.872,0.92,0.896
0.93,0.181,1.137,0.882,0.819,0.872,0.93,0.9
0.94,0.183,1.128,0.887,0.817,0.872,0.94,0.905
0.95,0.186,1.109,0.892,0.814,0.871,0.95,0.909
0.96,0.224,0.611,0.881,0.776,0.85,0.96,0.902
0.97,0.235,0.531,0.882,0.765,0.845,0.97,0.903
0.981,0.238,0.514,0.886,0.762,0.845,0.981,0.908
0.99,0.264,0.392,0.88,0.736,0.832,0.99,0.904
